Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Virulence Factor","Victors","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.1021","ACFX5A_12850",,"15595239","Pseudomonas aeruginosa PAO1","PA0041","Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family",,"",,,"14641575",46,93,98,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.4699","ACFX5B_27445",,,,"MexEF-OprN","Multidrug efflux system, membrane fusion component => MexE of MexEF-OprN system","Multidrug efflux system, membrane fusion component => MexE of MexEF-OprN system","efflux pump conferring antibiotic resistance","Phenicol antibiotics, Diaminopyrimidines, Fluoroquinolones Quinolones Quinolines","chloramphenicol;trimethoprim;norfloxacin;ciprofloxacin","9044268",,,,
"BLAT","Virulence Factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.4848","OQ293_30755",,"VFG000164","Pseudomonas aeruginosa PAO1","fptA","Outer membrane receptor for ferric-pyochelin FptA @ Outer membrane receptor for ferric siderophore",,"Iron uptake,Siderophore",,,,100,100,100,"0.0"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.6692","KB219_19150",,"VFG015950","Pseudomonas aeruginosa PAO1","pvdQ","Acyl-homoserine lactone acylase PvdQ (EC 3.5.1.-), quorum-quenching",,"Nutritional/Metabolic factor",,,,100,100,99,"0.0"
"BLAT","Virulance factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.2019","RBB72_09875",,"VFG016069","Pseudomonas aeruginosa PAO1","pvdG","Thioesterase PvdG involved in non-ribosomal peptide biosynthesis",,"Nutritional/Metabolic factor",,,,100,100,98,"1e-143"
"BLAT","Virulence Factor","VFDB","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.3092","ACFX5A_02310",,"VFG001213","Pseudomonas aeruginosa PAO1","pilS","Two-component sensor PilS",,"Adherence,Twitching motility",,,,100,100,99,"1e-304"
"BLAT","Virulence Factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.935","IEG03_04565",,"VFG001231","Pseudomonas aeruginosa PAO1","chpA","still frameshift probable component of chemotactic signal transduction system",,"Adherence,Twitching motility",,,,100,100,99,"0.0"
"BLAT","Virulance factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.1524",,,"VFG044096","Pseudomonas aeruginosa PAO1",,"Inner-membrane permease FptX, ferripyochelin @ Inner-membrane permease for ferric siderophore",,"Nutritional/Metabolic factor",,,,47,97,98,"1e-109"
"BLAT","Virulance factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.7012","ERJ99_017570",,"VFG001221","Pseudomonas aeruginosa PAO1","pilN","Type IV pilus biogenesis protein PilN",,"Adherence",,,,100,100,100,"1e-106"
"BLAT","Antibiotic Resistance","CARD","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.4078","ACFX5A_23915",,"NP_252894.1","Pseudomonas aeruginosa PAO1","mexG","hypothetical protein",,"efflux pump conferring antibiotic resistance",,"acriflavin;norfloxacin",,100,100,100,"6e-77"
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.6998","NDR77_07480",,"VFG001248","Pseudomonas aeruginosa PAO1","fleQ","Flagellar regulatory protein FleQ",,"Motility",,,,100,100,100,"1e-283"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.4834","KB219_34800",,"VFG002060","Pseudomonas aeruginosa PAO1","ppkA","T6SS Serine/threonine protein kinase (EC 2.7.11.1) PpkA",,"Effector delivery system",,,,42,100,100,"1e-253"
"BLAT","Transporter","TCDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.3351","IEG03_16375",,"G3XCT7","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)",,"AmpG permease","the major facilitator superfamily (mfs).","2.A.1.25.5",,,,100,100,99,"0.0"
"BLAT","Drug Target","DrugBank","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.1524","ACFX5C_32205",,"P0A8Q3","Escherichia coli (strain K12)","frdD","Fumarate reductase subunit D","2-[1-(4-CHLORO-PHENYL)-ETHYL]-4,6-DINITRO-PHENOL;2-HEPTYL-4-HYDROXY QUINOLINE N-OXIDE","Drug target",,,,63,100,100,"1e-37"
"BLAT","Virulence Factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.2788","OQ293_24175",,"VFG000125","Pseudomonas aeruginosa PAO1","algK","Alginate export system AlgK/AlgE, periplasmic component AlgK",,"Antiphagocytosis,Serum resistance",,,,100,100,99,"1e-275"
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.6771","NDR77_25425",,"VFG041010","Pseudomonas aeruginosa PAO1","tagQ","Autotransporter adhesin",,"Effector delivery system",,,,100,100,100,"1e-171"
"BLAT","Virulance factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.2742","ERJ99_028520",,"VFG041016","Pseudomonas aeruginosa PAO1","tssC","T6SS component TssC (ImpC/VipB)",,"Effector delivery system",,,,100,100,100,"1e-291"
"BLAT","Transporter","TCDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.5688","KB219_15525",,"Q9HV90","Pseudomonas aeruginosa",,"Heme ABC transporter, cell surface heme and hemoprotein receptor HmuT",,"3.A.1.14.21",,,,100,100,100,"1e-166"
"BLAT","Virulence Factor","Victors","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.761","OQ293_17480",,"116053639","Pseudomonas aeruginosa UCBPP-PA14 ","dsbA","Periplasmic thiol:disulfide interchange protein DsbA",,"",,,"18591226",100,100,100,"1e-120"
"BLAT","Antibiotic Resistance","CARD","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.5563",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,45,95,86,"3e-88"
"BLAT","Virulence Factor","VFDB","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.4139","ACFX5A_24220",,"VFG000181","Pseudomonas aeruginosa PAO1","xcpS","General secretion pathway protein F",,"Secretion system,Type II secretion system",,,,100,100,100,"1e-222"
"BLAT","Virulence Factor","Victors","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.4912","ACFX5C_26070",,"15600137","Pseudomonas aeruginosa PAO1 ","hfq","RNA-binding protein Hfq",,"",,,"14521880",100,100,100,"4e-40"
"BLAT","Transporter","TCDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.6729","RBB72_32690",,"Q9HV90","Pseudomonas aeruginosa",,"Heme ABC transporter, cell surface heme and hemoprotein receptor HmuT","the atp-binding cassette (abc) superfamily.","3.A.1.14.21",,,"10984043;8633080",100,100,99,"1e-165"
"K-mer Search","Antibiotic Resistance","PATRIC","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.722","NDR77_28755",,,,"OccD5/OpdI","Outer membrane low permeability porin, OprD family => OccD5/OpdI","Outer membrane low permeability porin, OprD family => OccD5/OpdI","protein modulating permeability to antibiotic","Multiple antibiotic resistance",,"22272184",,,,
"BLAT","Virulence Factor","VFDB","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.4291","ACFX5C_23855",,"VFG000143","Pseudomonas aeruginosa PAO1","waaF","ADP-heptose--lipooligosaccharide heptosyltransferase II",,"Adherence,Endotoxin",,,,100,100,100,"1e-205"
"BLAT","Transporter","TCDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.4222","RBB72_20465",,"Q9I0E2","Pseudomonas aeruginosa",,"Outer membrane low permeability porin, OprD family => OccD7/OpdB proline","the outer membrane porin (opr) family.","1.B.25.1.11",,,"10984043",17,100,97,"6e-37"
"BLAT","Virulance factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.5363","ERJ99_012555",,"VFG041026","Pseudomonas aeruginosa PAO1",,"T6SS outer membrane component TssL (ImpK/VasF)",,"Effector delivery system",,,,100,100,100,"1e-166"
"BLAT","Virulence Factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.93","NDR77_00455",,"VFG000212","Pseudomonas aeruginosa PAO1","pscD","Type III secretion inner membrane protein (YscD,homologous to flagellar export components)",,"Secretion system,Type III secretion system",,,,100,100,99,"1e-246"
"BLAT","Antibiotic Resistance","CARD","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.3735","OQ293_04995",,"NP_251185.1","Pseudomonas aeruginosa PAO1","oprN","Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"1e-263"
"BLAT","Virulance factor","VFDB","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.5376","IEG03_26320",,"VFG050298","Pseudomonas aeruginosa PAO1",,"Bacteriocin resistance protein; peptidase C39 @ Fap protein with C39 domain",,"Adherence",,,,100,100,99,"1e-126"
"BLAT","Transporter","TCDB","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.4342","ACFX5B_25735",,"W0WJ90","Pseudomonas aeruginosa MH38",,"Dipeptide ABC transporter, ATP-binding protein DppD (TC 3.A.1.5.2)","the atp-binding cassette (abc) superfamily.","3.A.1.5.39",,,,100,100,100,"1e-184"
"BLAT","Virulence Factor","Victors","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.5663","RBB72_27500",,"116050154","Pseudomonas aeruginosa UCBPP-PA14 ","prpR","Sigma-54 dependent DNA-binding transcriptional regulator",,"",,,"18591226",99,72,99,"1e-270"
"BLAT","Drug Target","DrugBank","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.3280","ACFX5C_20755",,"P26841","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)","cat","Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatB family","Chloramphenicol;Chlorhexidine;Desulfo-Coenzyme A","Drug enzyme,Drug target",,,,100,100,98,"1e-125"
"BLAT","Virulance factor","VFDB","287.14718","Pseudomonas aeruginosa strain DMC-20C","fig|287.14718.peg.6685","KB219_19115",,"VFG015973","Pseudomonas aeruginosa PAO1","pvdP","Pyoverdine biosynthesis related protein PvdP",,"Nutritional/Metabolic factor",,,,100,100,99,"0.0"
"BLAT","Virulance factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.2425","OQ293_22375",,"VFG000143","Pseudomonas aeruginosa PAO1","waaF","ADP-heptose--lipooligosaccharide heptosyltransferase II",,"Immune modulation",,,,100,100,100,"1e-205"
"BLAT","Metal Resistance","BacMet","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.1839","RBB72_08995",,"BAC0243","Pseudomonas aeruginosa strain ATCC 15692","mexR","Multidrug resistance operon repressor MexR, MarR family",,,,,,100,100,99,"3e-79"
"K-mer Search","Antibiotic Resistance","PATRIC","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.2897","ACFX5B_20815",,,,"EF-G","Translation elongation factor G","Translation elongation factor G","antibiotic target in susceptible species","Fusidic acid","fusidic acid","17980694",,,,
"BLAT","Virulance factor","VFDB","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.6010","NDR77_23035",,"VFG014694","Pseudomonas aeruginosa PAO1","motA","Flagellar motor rotation protein MotA",,"Motility",,,,100,100,99,"1e-157"
"BLAT","Antibiotic Resistance","CARD","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.3579","ACFX5C_21290",,"NP_251183.1","Pseudomonas aeruginosa PAO1","mexE","Multidrug efflux system, membrane fusion component => MexE of MexEF-OprN system",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"1e-232"
"BLAT","Virulence Factor","VFDB","287.40604","Pseudomonas aeruginosa PA-CU-1","fig|287.40604.peg.5105","ACFX5C_27020",,"VFG000171","Pseudomonas aeruginosa PAO1","pchA","Isochorismate synthase (EC 5.4.4.2) @ Isochorismate synthase (EC 5.4.4.2) [pyochelin] siderophore @ Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis",,"Iron uptake,Siderophore",,,,100,100,99,"1e-283"
"BLAT","Transporter","TCDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.1002","ERJ99_005340",,"Q9HV74","Pseudomonas aeruginosa",,"Two-component sensor CbrA: intrcellular carbon:nitrogen balance","the solute:sodium symporter (sss) family.","2.A.21.9.1",,,"10984043;11401699",100,100,99,"0.0"
"BLAT","Virulence Factor","VFDB","287.31156","Pseudomonas aeruginosa BDMZA1","fig|287.31156.peg.1055","OQ293_18900",,"VFG014707","Pseudomonas aeruginosa PAO1","motC","Flagellar motor rotation protein MotA",,"",,,,100,100,100,"1e-134"
"BLAT","Drug Target","DrugBank","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.3661","ERJ99_000875",,"O33407","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)","estA","Phospholipase/lecithinase/hemolysin","(Hydroxyethyloxy)Tri(Ethyloxy)Octane","Drug target",,,,100,100,99,"0.0"
"BLAT","Virulence Factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.2771","ERJ99_007510",,"VFG000170","Pseudomonas aeruginosa PAO1","pchB","Isochorismate pyruvate-lyase (EC 4.2.99.21) [pyochelin] siderophore @ Isochorismate pyruvate-lyase (EC 4.2.99.21) of siderophore biosynthesis",,"Iron uptake,Siderophore",,,,100,100,100,"1e-52"
"BLAT","Antibiotic Resistance","CARD","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.902","RBB72_04405",,"YP_724476.1","Escherichia coli","msrE","ABC-F type ribosomal protection protein => Msr(E)",,"",,,,100,100,100,"1e-280"
"BLAT","Antibiotic Resistance","NDARO","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.4506","ERJ99_033330",,"WP_014386410.1","Gammaproteobacteria","aph(3')-VI","Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII","MULTISPECIES: APH(3')-VI family aminoglycoside O-phosphotransferase","",,,,100,100,100,"1e-147"
"BLAT","Virulence Factor","VFDB","287.9072","Pseudomonas aeruginosa strain DMC-27b","fig|287.9072.peg.3352","ERJ99_030355",,"VFG002062","Pseudomonas aeruginosa PAO1","tagF/pppB","T6SS associated component TagF (ImpM)",,"Secretion system,Type VI secretion system",,,,100,100,99,"1e-131"
"K-mer Search","Antibiotic Resistance","PATRIC","287.13267","Pseudomonas aeruginosa strain SRS1","fig|287.13267.peg.5789","IEG03_28315",,,,"OccD5/OpdI","Outer membrane low permeability porin, OprD family => OccD5/OpdI","Outer membrane low permeability porin, OprD family => OccD5/OpdI","protein modulating permeability to antibiotic","Multiple antibiotic resistance",,"22272184",,,,
"BLAT","Drug Target","DrugBank","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.2096","RBB72_10205",,"Q9I194","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)","pvdQ","Acyl-homoserine lactone acylase PvdQ (EC 3.5.1.-), quorum-quenching","Lauric Acid","Drug target",,,,75,100,99,"0.0"
"BLAT","Virulence Factor","Victors","287.25246","Pseudomonas aeruginosa DMC30b","fig|287.25246.peg.1756",,,"15598091","Pseudomonas aeruginosa PAO1 ","PA2895","hypothetical protein",,"",,,"14641575",57,100,98,"3e-77"
"K-mer Search","Antibiotic Resistance","PATRIC","287.40603","Pseudomonas aeruginosa PA-CU-2","fig|287.40603.peg.5994","ACFX5B_08655",,,,"OprF","Nonspecific porin and structural outer membrane protein OprF","Nonspecific porin and structural outer membrane protein OprF","protein modulating permeability to antibiotic","Multiple antibiotic resistance",,"16595653;2447060;16617058",,,,
"BLAT","Drug Target","DrugBank","287.40602","Pseudomonas aeruginosa PA-CU-3","fig|287.40602.peg.21",,,"O69755","Pseudomonas aeruginosa","phzG","Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5)","Riboflavin Monophosphate","Drug target",,,,14,96,100,"1e-10"
"BLAT","Virulance factor","VFDB","287.33560","Pseudomonas aeruginosa SHNIBPS206","fig|287.33560.peg.423","RBB72_02045",,"VFG041032","Pseudomonas aeruginosa PAO1",,"T6SS component TssA (ImpA)",,"Effector delivery system",,,,24,100,97,"4e-44"
