Isolate ID	Quality Module	Genotype	Predicted Phenotype	CGE Predicted Phenotype	Plasmid	Scheme	Sequence Type	Genome Length	N50 value	Number of Contigs Greater Than Or Equal To 300 bp	Quality Module Feedback
GCA_000790105.1_AZPAE14862_genomic	Failed	aac(6')-Ib3, aph(3')-IIb, blaIMP-13, blaOXA-50, blaPAO, catB7, fosA, sul1	amikacin, tobramycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	621	7067572	116123	167	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000790145.1_AZPAE14863_genomic	Failed	ant(2'')-Ia, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-2, blaOXA-50, blaPAO, catB7, fosA, sul1, tet(A)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, sulfisoxazole, tetracycline	Gentamicin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ceftazidime, Piperacillin, Cefepime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	7070053	75585	210	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000790155.1_AZPAE14864_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	16	6160523	173494	84	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000790185.1_AZPAE14865_genomic	Failed	aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, aph(3')-VIa, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, blaVIM-5, catB7, crpP, dfrA1, dfrB2, FloR, fosA, mph(E), msr(E), sul1, tet(A), tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, unknown[FloR_4_CP136914], fosfomycin, erythromycin, azithromycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Cefixime, Ertapenem, Imipenem, Meropenem, Chloramphenicol, Ciprofloxacin, Trimethoprim, Florphenicol, Fosfomycin, Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6894960	122275	133	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791025.1_AZPAE14897_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, crpP	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin	None	paeruginosa	1684	6448155	110051	171	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791035.1_AZPAE14898_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	253	6577690	117424	134	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791065.1_AZPAE14899_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	3897	6470623	135329	154	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791085.1_AZPAE14900_genomic	Failed	aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, aph(3')-VIa, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, blaVIM-5, catB7, crpP, dfrA1, dfrB2, FloR, fosA, mph(E), msr(E), sul1, tet(A), tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, ciprofloxacin I/R, trimethoprim, unknown[FloR_4_CP136914], fosfomycin, erythromycin, azithromycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Cefixime, Ertapenem, Imipenem, Meropenem, Chloramphenicol, Ciprofloxacin, Trimethoprim, Florphenicol, Fosfomycin, Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	-	6851898	109474	168	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791105.1_AZPAE14901_genomic	Failed	None	Susceptible	-	None	paeruginosa	4196	6881448	68946	192	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791725.1_AZPAE14958_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	244	7130390	178310	132	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000791735.1_AZPAE14959_genomic	Failed	aac(6')-Ib3, ant(3'')-Ia, aph(3')-IIb, ARR-2, blaOXA-10, blaOXA-395, blaPAO, blaVIM-2, catB7, CmlA7, crpP, dfrB2, fosA, sul1	amikacin, tobramycin, streptomycin, kanamycin, rifampicin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Rifampicin, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	773	6743682	216070	90	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000793985.1_AZPAE14911_genomic	Failed	aph(3')-IIb, blaOXA-395, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	532	6808509	180011	99	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000794995.1_AZPAE14809_genomic	Failed	aph(3')-IIb, blaOXA-396, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	385	6210274	269143	67	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795025.1_AZPAE14810_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, crpP, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin	None	paeruginosa	132	6316519	169858	83	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795045.1_AZPAE14811_genomic	Failed	aac(6')-Il, aadA2, aph(3'')-Ib, aph(3')-IIb, aph(3')-VI, aph(6)-Id, blaOXA-4, blaOXA-486, blaPAO, blaVIM-2, catB7, CmlA7, CmlA9, dfrA1, fosA, sul1, tet(G)	gentamicin, streptomycin, kanamycin, amikacin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], unknown[CmlA9_1_JN406319], trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Spectinomycin, Streptomycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	233	6981966	160181	124	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795065.1_AZPAE14812_genomic	Failed	aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-488, blaPAO, catB7, CmlA9, fosA, sul1, tet(G)	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	308	7093737	217578	95	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795085.1_AZPAE14813_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol	None	paeruginosa	1684	6470062	171071	121	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795425.1_AZPAE13848_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-395, blaPAO, catB7, CmlA9, fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Meropenem, Cefepime, Chloramphenicol, Fosfomycin, Gentamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	316	6958460	221382	110	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795435.1_AZPAE13850_genomic	Passed	aac(3)-Ic, aac(6')-Il, aph(3')-IIb, blaOXA-488, blaPAO, CmlA7, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, unknown[CmlA7_1_JQ639792], fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	5501656	31821	372	
GCA_000795465.1_AZPAE13853_genomic	Failed	aac(3)-Id, aac(6')-Il, aph(3')-Ib, aph(3')-IIb, blaOXA-488, blaPAO, blaVIM-2, catB7, CmlA9, crpP, dfrB5, fosA, sul1, tet(G)	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	823	7040099	231089	88	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795485.1_AZPAE13856_genomic	Failed	aac(6')-Il, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-7, blaOXA-488, blaPAO, catB7, CmlA9, crpP, fosA, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], ciprofloxacin I/R, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin, Unknown Beta-lactam, Cefepime, Chloramphenicol, Ciprofloxacin, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	308	7373661	175504	168	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795505.1_AZPAE13858_genomic	Failed	aac(3)-Id, aac(6')-Il, aph(3')-Ib, aph(3')-IIb, blaOXA-488, blaPAO, blaVIM-2, catB7, CmlA9, crpP, dfrB5, fosA, sul1, tet(G)	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	823	7017824	231089	92	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795525.1_AZPAE13860_genomic	Failed	ant(2'')-Ia, aph(3')-IIb, aph(3')-VIa, blaOXA-395, blaPAO, blaVEB-1, blaVIM-5, catB7, dfrA1, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, trimethoprim, fosfomycin, sulfisoxazole	Gentamicin, Tobramycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Amikacin, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam, Cefixime, Ertapenem, Imipenem, Chloramphenicol, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	111	6888735	187971	119	Genome length is not within the acceptable length range [4000000,6000000]
GCA_000795565.1_AZPAE13864_genomic	Failed	aac(6')-Ib3, ant(2'')-Ia, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-494, blaPAO, catB7, cmx, dfrA1, fosA, sul1	amikacin, tobramycin, gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, trimethoprim, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	244	6909435	227582	157	Genome length is not within the acceptable length range [4000000,6000000]
GCA_001045515.1_ASM104551v1_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime	None	paeruginosa	-	7728786	403690	44	Genome length is not within the acceptable length range [4000000,6000000]
GCA_002242775.1_ASM224277v1_genomic	Failed	aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-488, blaPAO, catB7, CmlA9, crpP, fosA, sul1, tet(G)	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], ciprofloxacin I/R, fosfomycin, sulfisoxazole, tetracycline	Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	308	7194702	234220	114	Genome length is not within the acceptable length range [4000000,6000000]
